decimallongitude,decimallatitude,scientificname
-76.26496666,38.05703333,Morone saxatilis
-76.26969999,38.088,Morone saxatilis
-76.23911667,38.08881667,Morone saxatilis
-76.20283333,38.07423333,Morone saxatilis
-76.22816666,38.02701667,Morone saxatilis
-76.1321,37.75610002,Morone saxatilis
-76.2039,37.57491665,Morone saxatilis
-76.12331667,37.77450002,Morone saxatilis
-76.13641667,37.73643335,Morone saxatilis
-76.14255001,37.75691668,Morone saxatilis
-76.04065,37.73711669,Morone saxatilis
-76.10293334,37.68863335,Morone saxatilis
-76.16240001,37.49721667,Morone saxatilis
-76.10300000000001,37.742,Morone saxatilis
-75.97711665,37.68799998,Morone saxatilis
-75.9713,37.70771669,Morone saxatilis
-76.17800001,37.90868333,Morone saxatilis
-76.082,37.775999999999996,Morone saxatilis
-76.10600000000001,37.772,Morone saxatilis
-76.22263333,37.13903333,Morone saxatilis
-76.09023333,37.07726667,Morone saxatilis
-76.124,37.77,Morone saxatilis
-76.12233334,37.39104999,Morone saxatilis
-76.432,38.963,Morone saxatilis
-76.332,39.176,Morone saxatilis
-76.328,39.208,Morone saxatilis
-76.292,39.248000000000005,Morone saxatilis
-76.41199999999999,38.927,Morone saxatilis
-76.442,38.875,Morone saxatilis
-76.377,38.556,Morone saxatilis
-76.506,38.639,Morone saxatilis
-76.436,38.909,Morone saxatilis
-76.441,38.472,Morone saxatilis
-76.455,38.773,Morone saxatilis
-76.477,38.659,Morone saxatilis
-76.396,38.656,Morone saxatilis
-76.42,38.61,Morone saxatilis
-76.119,38.043,Morone saxatilis
-76.115,37.977,Morone saxatilis
-76.209,38.223,Morone saxatilis
-76.135,38.029,Morone saxatilis
-76.266,38.092,Morone saxatilis
-76.267,38.021,Morone saxatilis
-76.309,38.184,Morone saxatilis
-76.3,38.257,Morone saxatilis
-76.293,38.274,Morone saxatilis
-76.141,37.788000000000004,Morone saxatilis
-75.959,37.677,Morone saxatilis
-76.085,37.856,Morone saxatilis
-76.118,37.821,Morone saxatilis
-76.143,37.49,Morone saxatilis
-76.26,37.672,Morone saxatilis
-76.223,37.69,Morone saxatilis
-76.22399999999999,37.772,Morone saxatilis
-76.24,37.673,Morone saxatilis
-76.3902,39.1152,Morone saxatilis
-76.40436667,38.95885,Morone saxatilis
-76.35541667,39.04671667,Morone saxatilis
-76.3851,38.96808333,Morone saxatilis
-76.4949,38.75721667,Morone saxatilis
-76.45378333,38.84125,Morone saxatilis
-76.4264,38.8912,Morone saxatilis
-76.48738333,38.7227,Morone saxatilis
-76.4207,38.87316667,Morone saxatilis
-76.4126,38.57516667,Morone saxatilis
-76.41581667,38.80606667,Morone saxatilis
-76.30053333,39.07203333,Morone saxatilis
-76.31221667,39.20348333,Morone saxatilis
-76.34446667,39.06683333,Morone saxatilis
-76.3735,39.03578333,Morone saxatilis
-76.35645,39.03895,Morone saxatilis
-76.38023333,38.97193333,Morone saxatilis
-76.49553333,38.79018333,Morone saxatilis
-76.40916667,38.97605,Morone saxatilis
-76.46693333,38.8224,Morone saxatilis
-76.45563333,38.73896667,Morone saxatilis
-76.4734,38.67475,Morone saxatilis
-76.14758333,38.12478333,Morone saxatilis
-76.26645,38.12175,Morone saxatilis
-76.28855,39.253,Morone saxatilis
-76.36501667,39.12115,Morone saxatilis
-76.36131667,39.10245,Morone saxatilis
-76.29921667,39.10466667,Morone saxatilis
-76.49715,38.55405,Morone saxatilis
-76.48863333,38.56985,Morone saxatilis
-76.46041667,38.70545,Morone saxatilis
-76.4778,38.6575,Morone saxatilis
-76.47678333,38.6734,Morone saxatilis
-76.46698333,38.74061667,Morone saxatilis
-76.12553333,38.07328333,Morone saxatilis
-76.10651667,38.02445,Morone saxatilis
-76.18351667,38.05581667,Morone saxatilis
-76.23471667,37.9252,Morone saxatilis
-76.20445,37.92515,Morone saxatilis
-76.19078333,38.14106667,Morone saxatilis
-76.29018333,38.2078,Morone saxatilis
-76.20548333,37.49046667,Morone saxatilis
-75.98696667,37.73795,Morone saxatilis
-75.98001667,37.7441,Morone saxatilis
-76.10526667,37.68965,Morone saxatilis
-75.98818333,37.75276667,Morone saxatilis
-76.08635,37.50975,Morone saxatilis
-76.13913333,37.70715,Morone saxatilis
-76.18295,37.85935,Morone saxatilis
-76.19205,37.85865,Morone saxatilis
-76.05378333,37.50701667,Morone saxatilis
-76.32236667,37.21158333,Morone saxatilis
-76.29606667,37.2618,Morone saxatilis
-76.29508333,37.24878333,Morone saxatilis
-76.33695,37.21083333,Morone saxatilis
-76.21141667,37.30598333,Morone saxatilis
-76.03955,37.34178333,Morone saxatilis
-76.18201667,37.3242,Morone saxatilis
-76.18271667,37.34333333,Morone saxatilis
-78.551407,34.400487,Morone saxatilis
-94.15700000000001,33.3055,Morone saxatilis
-95.695,32.6649,Morone saxatilis
-97.7418,30.2568,Morone saxatilis
-76.535613,38.889506,Morone saxatilis
-76.52300262,38.8769989,Morone saxatilis
-76.535613,38.889506,Morone saxatilis
-76.535613,38.889506,Morone saxatilis
-76.52300262,38.8769989,Morone saxatilis
-76.52300262,38.8769989,Morone saxatilis
-76.535613,38.889506,Morone saxatilis
-84.8064,39.1375,Morone saxatilis
-83.0325,38.9386,Morone saxatilis
-82.9747,39.0978,Morone saxatilis
-76.74050140000001,37.14709854,Morone saxatilis
-78.29329681,34.40489960000001,Morone saxatilis
-77.0625,37.60269928,Morone saxatilis
-77.11730194,38.93180084,Morone saxatilis
-77.26629639,37.33089828,Morone saxatilis
-88.18914000000001,37.461909999999996,Morone saxatilis
